Method,RR,Hit@5,Precision@5,Recall@5,Hit@10,Precision@10,Recall@10,query_id
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_1
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_2
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_3
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_4
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_5
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_6
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_7
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_8
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_9
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_10
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_11
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_12
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_13
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_14
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_15
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_16
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_17
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_18
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_19
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_20
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_21
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_22
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_23
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_24
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_25
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_26
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_27
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_28
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_29
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_30
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_31
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_32
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_33
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_34
BM25,0.5,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_35
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_36
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_37
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_38
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_39
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_40
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_41
BM25,1.0,1.0,0.2,1.0,1.0,0.1,1.0,auto_q_42
